#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
17,pension plans,in,55,4200,0.8,1.04,lic pension plan,2023-04-25 4:01:34,"Sitelinks,People also ask",6300,28000
18,international travel insurance,in,55,4100,9,1.15,international travel insurance,2023-04-25 5:57:44,"Sitelinks,People also ask,Bottom ads,Paid sitelinks",40000,3900
19,property insurance,in,45,3400,1.8,0.75,property insurance,2023-04-25 17:46:55,"Featured snippet,Thumbnail,Sitelinks,People also ask,Knowledge panel",27000,900
20,whole life insurance,in,40,2900,2.5,0.58,whole life insurance,2023-04-26 11:49:52,"People also ask,Knowledge panel,Sitelinks",88000,1900
21,liability insurance,in,43,2800,1.7,0.57,liability insurance,2023-04-25 3:36:29,"Featured snippet,Thumbnail,People also ask,Sitelinks,Knowledge panel",69000,1800
22,group health insurance,in,37,2500,2.5,0.91,group health insurance,2023-04-25 19:55:38,"People also ask,Sitelinks",17000,4300
23,endowment plans,in,14,2400,0.4,0.76,endowment plans,2023-04-23 12:08:42,"People also ask,Sitelinks,Knowledge panel,Video preview",2900,2300
24,group insurance,in,22,2200,0.9,0.69,group insurance,2023-04-25 14:21:24,"People also ask,Tweets,Knowledge panel,Sitelinks",8800,2700
25,professional indemnity insurance,in,11,2000,4,0.82,professional indemnity insurance,2023-04-23 6:05:30,"Sitelinks,People also ask,Image pack",35000,1100
26,cyber insurance,in,48,1600,0.6,0.73,cyber insurance,2023-04-24 13:00:04,"People also ask,Knowledge panel,Sitelinks",17000,700
27,commercial insurance,in,26,1600,0.8,0.63,commercial insurance,2023-04-25 10:04:17,"People also ask,Sitelinks",49000,450
28,maternity health insurance,in,30,1400,1.4,1.51,maternity health insurance,2023-04-20 10:12:27,"People also ask,Sitelinks,Video preview",2300,11000
29,product liability insurance,in,9,1100,1,0.67,product insurance liability,2023-04-25 17:30:12,"People also ask,Sitelinks",21000,1100
30,ulips,in,36,1100,,0.62,ulip,2023-04-25 4:55:36,"Sitelinks,People also ask,Image pack,Videos",1200,5300
31,individual health insurance,in,10,1000,1.9,0.63,individual health insurance plans,2023-04-20 2:47:35,"People also ask,Sitelinks,Image pack",19000,1600
32,agriculture insurance,in,24,900,0.35,0.88,aic,2023-04-23 2:34:50,"Sitelinks,People also ask,Tweets",2700,6400
33,domestic travel insurance,in,13,900,1.9,1.69,domestic travel insurance,2023-04-19 13:30:33,,6300,900
34,cargo insurance,in,5,900,0.7,0.65,cargo insurance,2023-04-19 1:39:05,"Sitelinks,Knowledge panel",7800,350
35,hull insurance,in,4,700,0,0.56,hull insurance,2023-04-25 13:27:59,"Featured snippet,Thumbnail,People also ask,Image pack",1800,50
36,freight insurance,in,2,600,0.8,0.64,freight insurance,2023-04-21 20:12:09,People also ask,2800,200
37,student travel insurance,in,22,600,6,1.07,student travel insurance,2023-04-24 22:46:11,"People also ask,Sitelinks,Image pack",4800,600
38,business interruption insurance,in,44,500,7,0.21,business interruption insurance,2023-04-22 11:06:24,"People also ask,Sitelinks,Image pack",15000,40
39,burglary insurance,in,3,500,0.9,0.51,burglary insurance meaning,2023-04-25 0:37:16,"People also ask,Sitelinks,Videos",1100,250
40,directors and officers liability insurance,in,34,400,1.1,,d&o insurance,2023-04-08 19:33:38,"People also ask,Videos,Image pack",2800,900
41,child plans,in,36,350,,0.9,child plan,2023-04-19 0:19:57,"Sitelinks,Video preview",450,7200
42,cyber liability insurance,in,39,300,1.5,,cyber liability insurance,2023-04-12 1:05:17,Sitelinks,7300,40
43,flood insurance,in,67,300,1.5,0.56,flood insurance,2023-04-05 5:14:52,"Sitelinks,People also ask,Knowledge panel",17000,200
44,livestock insurance,in,4,300,0.6,1.05,livestock insurance,2023-04-08 13:08:37,People also ask,1700,100
45,home appliance insurance,in,4,250,1.3,,appliences,2023-04-14 0:10:56,Sitelinks,8600,0
46,earthquake insurance,in,41,250,2,,earthquake insurance,2023-04-12 13:06:13,"People also ask,Knowledge panel,Sitelinks",8700,10
47,electronic equipment insurance,in,4,200,,0.89,electronic equipment insurance,2023-04-12 11:37:09,Sitelinks,600,150
48,home content insurance,in,27,100,1.5,,contents insurance,2023-04-10 5:33:17,Sitelinks,3400,500
49,marine liability insurance,in,4,60,,,marine liabilities insurance,2023-04-02 14:12:05,"People also ask,Sitelinks",600,40
50,data breach insurance,in,,20,0,,,,,2600,
51,family floater plans,in,,10,,,,,,30,
52,home structure insurance,in,,10,,,,,,30,
53,farm equipment insurance,in,,10,,,,,,500,
54,cybercrime insurance,in,,,,,,,,70,
1,loans,in,75,28000,0.4,0.5,personal loan,2023-04-26 3:44:29,"People also ask,Top stories,Thumbnail,Video preview",1250000,20000
2,online banking,in,80,18000,0.2,0.68,sbi login,2023-04-25 5:42:48,"Sitelinks,People also ask",429000,7980000
3,mobile banking,in,49,16000,0.2,0.54,mobile banking,2023-04-26 12:21:08,"People also ask,Knowledge panel,Sitelinks",59000,4700
4,credit cards,in,69,6200,1.1,0.7,hdfc credit card,2023-04-26 11:03:05,"People also ask,Sitelinks,Top stories,Thumbnail",409000,652000
5,deposits,in,39,2500,0,0.49,deposit,2023-04-26 8:43:58,"Knowledge card,People also ask,Knowledge panel,Sitelinks,Top stories,Thumbnail",6300,2400
6,cash management services,in,12,1000,0.2,0.7,cash management services,2023-04-21 19:47:53,"Sitelinks,People also ask,Image pack,Video preview",2600,1000
7,insurance services,in,89,1000,1,0.77,insurance,2023-04-20 19:45:14,"Sitelinks,People also ask,Image pack,Local pack",4100,13000
8,debit cards,in,42,700,0.15,0.59,debit card,2023-04-23 23:15:39,"People also ask,Sitelinks",20000,13000
9,letters of credit,in,31,500,1.7,0.48,letter of credit,2023-04-19 18:13:12,"Sitelinks,Knowledge panel",8600,10000
10,investment services,in,57,350,,,investment service,2023-04-24 23:00:24,"People also ask,Sitelinks,Local pack",9200,150
11,bill payment services,in,14,200,0.2,,bbps,2023-04-08 1:41:34,"People also ask,Sitelinks,Local pack",1000,6500
12,foreign exchange services,in,43,150,1.4,0.66,forex in banking,2023-04-09 21:27:29,"Featured snippet,Thumbnail,People also ask,Sitelinks",1000,150
13,atm services,in,25,150,0.1,0.56,atm,2023-03-29 18:50:54,"Featured snippet,People also ask,Sitelinks",1400,218000
14,pension services,in,,100,,,,,,450,
15,trade finance services,in,6,90,1.3,,trade finance,2023-04-10 2:24:15,"People also ask,Sitelinks",800,1200
16,phone banking services,in,14,80,0.15,,what is phone banking,2023-04-18 6:32:39,"Sitelinks,Knowledge panel",150,300
17,safe deposit lockers,in,2,70,0.25,0.58,union bank locker charges,2023-04-10 17:10:17,"Featured snippet,Thumbnail,People also ask,Sitelinks,Image pack",350,600
18,sms banking services,in,,10,,,,,,30,
19,cheque books,in,,10,0.15,0.3,,,,90,
1,mudra loan,in,20,109000,0.06,1.07,mudra loan,2023-04-24 7:41:56,"Sitelinks,People also ask,Knowledge panel",110000,95000
2,loan against property,in,28,23000,0.6,0.99,loan against property,2023-04-26 13:11:34,"People also ask,Image pack,Video preview",25000,9300
3,personal loans,in,70,5600,1.7,0.9,hdfc personal loan,2023-04-25 10:35:51,"Local pack,People also ask,Sitelinks,Video preview",470000,204000
4,home loans,in,76,3300,0.9,0.69,sbi home loan,2023-04-25 12:50:29,"Top stories,Thumbnail,People also ask,Local pack,Sitelinks",66000,74000
5,business loans,in,53,1600,1.6,1.04,business loan,2023-04-24 15:08:49,People also ask,97000,18000
6,car loans,in,50,1500,0.45,0.9,car loan,2023-04-20 13:55:59,"People also ask,Top stories,Thumbnail,Local pack",127000,22000
7,startup india loan,in,13,800,0.6,1.15,stand up india,2023-04-25 10:20:03,"Sitelinks,People also ask,Video preview",800,15000
8,wedding loans,in,13,700,0.5,0.79,marriage loan,2023-04-21 19:58:55,"People also ask,Image pack",8500,3500
9,education loans,in,58,700,0.4,0.85,education loan,2023-04-25 8:47:44,"Sitelinks,People also ask,Top stories,Thumbnail",2400,22000
10,medical loans,in,13,700,0.7,,medical loan,2023-04-22 16:05:29,"People also ask,Sitelinks,Image pack",4500,900
11,gold loans,in,47,400,,0.76,sbi gold loan,2023-04-19 21:09:19,"Local pack,People also ask,Sitelinks,Top stories,Thumbnail,Image pack",800,32000
12,nri loans,in,20,200,0.25,1.16,nri loans,2023-04-06 1:20:14,People also ask,300,800
13,travel loans,in,17,100,,,travel loan,2023-04-18 16:04:55,Video preview,2000,1200
14,credit card loans,in,8,100,0.5,,hdfc credit card loan,2023-04-17 21:11:52,"People also ask,Image pack",5900,14000
15,consumer durable loans,in,10,100,0.3,0.71,consumer durable loan,2023-04-17 20:32:11,"People also ask,Sitelinks,Image pack,Video preview",150,4900
16,agricultural loans,in,19,100,,0.66,agriculture loan,2023-04-18 3:14:02,"Sitelinks,Videos,Image pack",1000,4100
17,microfinance loans,in,6,80,0.35,,microfinance loan,2023-04-19 4:49:20,Sitelinks,350,20
18,professional loans,in,6,30,,,loan for professionals,2023-04-26 3:53:44,"People also ask,Sitelinks",250,250
19,rural housing loans,in,,10,,,,,,200,
20,etc,in,,,,,,,,150,
21,two-wheeler loans,in,,,,,,,,,
